Category	MsgDescription	MsgCode
RadiusAcct	RadiusAcctLog	ACT30610
RadiusAttrPolPass	RadiusAttrPolPassLog	ACT31209
RadiusAttrPolFail	RadiusAttrPolFailLog	ACT31210
AdminChange	AdminMsgS	ADM10018
AdminChange	ClusterCreated	ADM10028
AdminChange	ClusterJoined	ADM10029
AdminChange	ClusterDeleted	ADM10030
AdminChange	ClusterStart	ADM10031
AdminChange	ClusterStop	ADM10032
AdminChange	RemoveNode	ADM10033
AdminChange	AddNode	ADM10034
AdminChange	EnableNode	ADM10035
AdminChange	DisableNode	ADM10036
AdminChange	ChangedClusterName	ADM10037
AdminChange	ChangedClusterPassword	ADM10038
AdminChange	ChangedClusterMode	ADM10039
AdminChange	ChangedSyncProtocol	ADM10040
AdminChange	ChangedLogMessageSync	ADM10041
AdminChange	ChangedVIP	ADM10042
AdminChange	RoleDuplicated	ADM10242
AdminChange	SettingAdded	ADM10243
AdminChange	SettingDeleted	ADM10244
AdminChange	SettingModified	ADM10245
AdminChange	SettingReordered	ADM10246
AdminChange	RoleCreated	ADM10247
AdminChange	RoleDeleted	ADM10248
AdminChange	addRealm	ADM10249
AdminChange	deleteRealm	ADM10250
AdminChange	addRule	ADM10251
AdminChange	deleteRule	ADM10252
AdminChange	reorderRules	ADM10253
AdminChange	updateRealm	ADM10254
AdminChange	updateRule	ADM10255
AdminChange	PolicyCreated	ADM10256
AdminChange	PolicyDeleted	ADM10257
AdminChange	PolicyDuplicated	ADM10258
AdminChange	PolicyModified	ADM10259
AdminChange	PolicyReordered	ADM10260
AdminChange	RuleAdded	ADM10261
AdminChange	RuleDeleted	ADM10262
AdminChange	RuleModified	ADM10263
AdminChange	RuleReordered	ADM10264
AdminChange	PolicyExtraActionModified	ADM10265
AdminChange	RuleExtraActionModified	ADM10266
AdminChange	RestartServer	ADM10307
AdminChange	LicenseImportFailed	ADM10308
AdminChange	LicenseImport	ADM10309
AdminChange	LicenseExpired	ADM10310
AdminChange	LTLInformation	ADM10311
AdminChange	ImportXMLSuccessful	ADM10315
AdminChange	ImportXMLFailed	ADM10316
AdminChange	ExportXMLSuccessful	ADM10318
AdminChange	ExportXMLFailed	ADM10319
AdminChange	AppVisChanged	ADM13980
AdminChange	NewGroup	ADM20087
AdminChange	RemoveGroup	ADM20088
AdminChange	SetDefaultValueResource	ADM20089
AdminChange	InitSystemGroups	ADM20090
AdminChange	NewSystemGroup	ADM20091
AdminChange	FixedGroupPerm	ADM20103
AdminChange	AdminMsgS	ADM20156
AdminChange	setACLType	ADM20177
AdminChange	delACL	ADM20178
AdminChange	delWinACLRow	ADM20179
AdminChange	editWinACLRow	ADM20180
AdminChange	delNFSACLRow	ADM20181
AdminChange	editNFSACLRow	ADM20182
AdminChange	addACL	ADM20183
AdminChange	setAutomountOn	ADM20184
AdminChange	setAutomountOff	ADM20185
AdminChange	setRawIpPolicy	ADM20186
AdminChange	ChangedACLInheritanceSettings	ADM20187
AdminChange	AddJavaACL	ADM20188
AdminChange	RemoveJavaACL	ADM20189
AdminChange	AddASMACL	ADM20190
AdminChange	RemoveASMACL	ADM20191
AdminChange	ChangeWebAccessPolicy	ADM20194
AdminChange	NewWebResource	ADM20195
AdminChange	NewIPRange	ADM20196
AdminChange	ModifiedWebResource	ADM20197
AdminChange	ModifiedIPRange	ADM20198
AdminChange	DeleteWebResource	ADM20199
AdminChange	DeleteIPRange	ADM20200
AdminChange	GroupNotExist	ADM20201
AdminChange	GroupMissing	ADM20202
AdminChange	UnexpectedTag	ADM20203
AdminChange	RecordsSkipped	ADM20204
AdminChange	UnexpectedValue	ADM20205
AdminChange	ProcessGroup	ADM20206
AdminChange	ImportSection	ADM20207
AdminChange	GroupNameMissing	ADM20208
AdminChange	Commit	ADM20209
AdminChange	AddNfsBm	ADM20210
AdminChange	AddWinBm	ADM20211
AdminChange	AddWebBm	ADM20212
